id,user_type,country,sector,energy_usage_kwh,transport_emissions_kg,diet_impact,carbon_offset_tons,renewable_energy_percentage,policy_incentives,emissions_tons,timestamp
28,Business,USA,IT,7837.398399,84.73652466,Medium,1.219311461,75,1,41.36437928,1660298402
29,Individual,Germany,Agriculture,27189.54369,146.140936,Low,0.42421056,25,1,32.76071461,1669816462
30,Individual,Germany,Agriculture,17994.59604,74.78692293,Medium,3.465660251,75,0,83.598879,1626815596
31,Business,Brazil,Transport,36396.42003,141.9652486,High,4.07220623,0,0,19.20068328,1628680951
32,Industry,Brazil,Manufacturing,30703.68513,86.96849083,Low,4.544196891,0,0,69.5264772,1662592039
33,Business,Germany,Residential,17720.01566,22.72674052,Medium,5.145506275,100,1,31.40063389,1655840118
34,Business,India,Residential,25431.16188,40.32322176,Medium,5.857850285,100,0,60.74708344,1654218208
35,Individual,China,IT,22915.06474,129.3072851,Medium,0.459764361,25,0,38.93094999,1617469137
36,Business,UK,Manufacturing,30183.02372,86.13600999,Medium,1.502481678,75,0,70.30414053,1612169941
37,Business,UK,IT,11161.35763,94.05647217,Medium,8.455108136,100,0,87.40142515,1662075397
38,Individual,Germany,Residential,35988.32614,136.8468417,Low,4.113199869,0,0,91.66273025,1669408847
39,Business,Brazil,Manufacturing,16931.45982,189.8489581,Low,0.19340949,75,0,19.26734975,1649261162
40,Individual,Brazil,Manufacturing,2751.806971,49.68525424,Medium,2.041646337,0,1,99.1399191,1614185110
41,Industry,India,Residential,10525.25066,10.50165856,Medium,8.745164167,0,1,51.09481746,1638920832
42,Business,India,IT,16913.31144,27.27366878,Low,9.471740466,0,0,77.06791418,1672375670
43,Business,Brazil,Agriculture,11135.50735,106.1895276,Low,2.381095384,100,0,38.60510362,1623065506
44,Individual,India,Agriculture,31791.63643,98.00364588,High,8.49680199,100,1,60.36289864,1624562193
45,Industry,UK,Residential,2877.186812,79.15779588,Medium,9.057883024,100,0,70.74872341,1611349541
46,Industry,Germany,Power,20443.57824,180.1318622,Low,5.835845956,0,0,48.10599047,1646027403
47,Individual,China,Manufacturing,9482.829585,70.68872163,High,5.464031653,25,1,25.60885963,1654479441
48,Business,Germany,IT,438.1050781,61.31566259,Low,7.206804498,0,0,70.67692224,1668129470
49,Industry,UK,Residential,30892.44977,8.004012955,Low,4.086859752,50,1,96.91208512,1614740369
50,Industry,USA,Transport,20714.23347,180.5872002,High,1.986290724,25,0,39.44731324,1618389057
51,Individual,USA,IT,33056.01243,4.933356724,Low,6.185001902,75,1,73.24536699,1671739314
52,Industry,India,Residential,46041.71627,84.24322164,High,2.174913194,50,1,11.13836679,1652722955
53,Business,China,Transport,27775.85989,2.153817342,Low,5.653732177,100,0,14.29307515,1633092084
54,Industry,UK,Transport,15128.17016,177.0752207,Medium,4.485725471,0,1,1.93443454,1609660935
55,Individual,Germany,Transport,32597.76573,41.63854395,High,1.389508449,0,1,89.16513498,1637940251
56,Business,Brazil,Residential,48447.3549,98.48745847,Medium,4.650196615,25,1,39.57195749,1639685259
57,Business,Germany,Manufacturing,47921.1743,2.436364565,Medium,7.005934541,50,0,5.493018846,1629998626
58,Business,China,Transport,129.2475728,52.72786657,High,8.396154339,0,0,46.36868812,1622480063
59,Individual,USA,Agriculture,19844.30909,195.1629351,Low,1.838518337,50,0,90.63896924,1665378781
60,Business,USA,Transport,39615.26542,165.207332,Low,1.519794226,100,1,62.28133469,1665611083
61,Individual,Germany,Residential,37076.30834,107.2726929,High,8.57667209,25,1,29.37581206,1619744233
62,Business,Brazil,Power,44858.58784,20.96496081,Low,2.732942906,25,0,24.92441477,1613106538
63,Individual,Brazil,Residential,30117.88411,129.8629877,Low,9.998098352,25,0,94.1820552,1640401831
64,Business,USA,Power,23112.95596,117.5003996,Low,1.327248181,0,1,72.00625243,1663986964
65,Industry,China,Power,12760.84451,146.2059882,Low,2.675538257,75,0,51.65701889,1612464955
66,Individual,UK,Residential,49350.33257,141.9563961,Medium,7.536672853,100,1,58.96843129,1639445494
67,Business,China,Power,22079.27248,191.8024375,Low,7.826016049,25,0,67.47097416,1661130385
68,Individual,Brazil,Manufacturing,31047.75151,155.4811707,Low,3.748117721,50,1,80.9917848,1621725522
69,Business,USA,Residential,35691.55049,99.08529912,Low,2.872737081,50,1,10.42770124,1664351955
70,Industry,USA,IT,10754.43597,133.2251833,High,1.378046318,75,1,59.05178254,1658744555
71,Business,UK,Agriculture,6886.395459,61.68453632,High,3.288158893,50,1,83.74860436,1641774412
72,Industry,UK,Transport,31598.77716,58.98788663,High,2.172918352,50,0,8.204296323,1633252115
73,Industry,USA,IT,44427.62623,68.49544136,Low,5.63179159,25,1,6.688526347,1636821829
74,Individual,Germany,IT,23010.79886,175.0042018,Low,6.945806623,0,1,95.76259843,1622932128
75,Individual,UK,Transport,48888.67709,136.3469673,Low,3.346405414,75,0,31.65556449,1644488488
76,Industry,USA,Residential,4674.57339,74.97572581,Medium,2.039198331,75,1,36.56934587,1650233156
77,Business,India,Agriculture,42716.31983,132.6796294,High,0.107962568,75,1,41.28197168,1662652150
78,Industry,China,Power,45071.44769,123.9295518,Medium,9.117871485,25,0,83.37160778,1639205255
79,Business,UK,Residential,45960.54265,14.1365621,Medium,1.263120869,50,1,5.754610029,1661517240
80,Business,China,Residential,24740.44502,145.4875036,Medium,4.910656239,100,0,73.89368543,1646883324
81,Business,Brazil,IT,759.0167125,173.6915102,Medium,5.418897918,75,0,0.879961616,1629120231
82,Industry,Brazil,IT,10959.67479,156.4105882,Medium,7.527374022,0,0,52.77733373,1667199805
83,Business,UK,Residential,36530.87719,191.5292487,Low,1.192300141,50,0,81.69504901,1613771678
84,Industry,Brazil,IT,2898.186892,132.2838215,Low,3.233962987,0,0,6.66115034,1644107115
85,Industry,India,Agriculture,32414.40404,12.14732801,Medium,6.519000356,50,1,73.02100397,1664625002
86,Individual,Brazil,Transport,27108.54802,1.782390283,Low,3.150406187,75,1,24.42540863,1642057083
87,Business,USA,IT,21282.98598,85.25249082,Low,4.278574386,50,1,67.47657845,1664133265
88,Individual,India,Transport,34672.20269,144.5476905,Medium,0.718988446,50,1,52.74046211,1668041831
89,Individual,UK,Power,9596.284993,185.3867627,Medium,2.557609719,0,0,14.50479114,1625446835
90,Individual,China,Power,47021.95611,171.7359488,High,2.877609956,0,0,91.90930172,1671015722
91,Business,UK,Power,32921.19305,174.0292473,Medium,3.527348847,25,0,90.5812146,1638202956
92,Individual,UK,Residential,5333.731769,7.030906517,Medium,9.223208996,75,1,57.27120433,1651974531
93,Industry,Brazil,IT,34033.87797,22.5351285,Low,6.154022175,0,0,13.52424517,1631239307
94,Industry,India,Residential,30480.79942,1.717138838,Medium,5.450149608,0,0,42.28482388,1622189115
95,Industry,Brazil,Agriculture,38276.13984,174.6637781,Medium,2.682785664,25,0,57.47341412,1612755688
96,Individual,Germany,Manufacturing,30436.32051,53.56280067,Low,4.605475232,0,1,3.288146185,1667548189
97,Industry,UK,IT,5211.07744,54.54236128,Medium,4.555075894,75,0,89.13817597,1658853044
98,Industry,UK,Power,14788.96388,27.35810308,Medium,8.309928677,100,0,97.7613415,1628185924
99,Individual,UK,Transport,47438.16319,156.4725917,Medium,7.949230227,100,0,94.88434235,1655767965
100,Individual,UK,Power,49169.0998,192.5206467,Low,4.359691911,100,0,83.85148549,1650123130
101,Industry,China,Manufacturing,4510.862553,78.09424584,High,7.884290395,100,0,15.44789747,1659358573
102,Industry,USA,Transport,47142.80087,60.21368068,Medium,5.413953796,75,1,14.43141604,1646754115
103,Individual,China,Residential,22161.33708,121.3622086,Medium,0.066886575,0,1,56.20748945,1640930878
104,Business,China,Transport,29018.5574,84.12730999,Low,7.453439828,0,1,59.73371955,1633070048
105,Business,UK,Manufacturing,26444.72309,154.251079,Medium,9.229638359,50,1,44.14844298,1671799487
106,Business,Brazil,IT,43372.31285,183.0956373,Low,7.055536248,75,0,91.28512818,1668317205
107,Industry,Germany,Manufacturing,6008.791944,142.1329438,Medium,1.367472587,50,1,56.027904,1640259897
108,Industry,USA,Transport,30761.52666,175.1186986,Low,5.404634774,100,1,74.42352981,1663437085
109,Industry,Brazil,Agriculture,5505.145968,107.452638,High,9.650744062,50,0,4.05050872,1638703201
110,Business,UK,IT,46683.73301,7.460192425,Low,3.300022174,0,1,45.7867972,1618058247
111,Business,India,Power,33118.57679,179.4562077,Low,3.045004191,75,1,87.06735002,1610795368
112,Individual,USA,Manufacturing,14925.74134,147.6949568,High,3.776919035,100,1,87.77720072,1630565857
113,Business,UK,Residential,21868.29735,34.35415372,Low,7.01666726,75,0,69.81881348,1642884101
114,Business,Brazil,Agriculture,26364.09166,127.9103301,High,3.214629986,0,0,25.61175088,1632464168
115,Industry,UK,IT,38424.58776,125.7986555,Medium,8.244502738,0,1,80.65663371,1657251418
116,Individual,Germany,Agriculture,7769.996023,41.31888211,Low,8.707585958,75,1,68.94199116,1637383408
117,Industry,Brazil,Agriculture,34187.1078,77.45195477,High,2.369964697,50,0,57.47551098,1629657098
118,Business,UK,Agriculture,17031.97025,98.6256578,Medium,1.150889026,50,0,25.20960667,1661843433
119,Industry,Germany,Agriculture,11252.09764,138.4721825,Medium,1.657518533,75,0,91.51141892,1649511151
120,Individual,India,IT,21454.41825,36.61632332,Medium,8.866249431,50,1,66.49873811,1636747258
121,Industry,Germany,Residential,32585.23916,12.00110092,Medium,8.613747968,50,1,60.85833485,1665086425
122,Business,China,IT,16672.79964,57.54659031,Low,4.626405585,25,0,91.11253934,1660187273
123,Individual,USA,Manufacturing,21698.69789,167.8348624,Medium,6.164086408,25,1,69.14544375,1668710710
124,Industry,Germany,Manufacturing,17383.41904,133.8313149,Low,1.441010893,75,0,33.43274192,1616810377
125,Individual,Germany,Transport,49634.26535,187.1496614,Medium,4.385989109,50,0,88.82047387,1649064533
126,Individual,Brazil,Manufacturing,16654.60716,162.8813102,Low,4.145771546,0,0,11.92828657,1648160615
127,Individual,India,IT,10864.95652,102.5648506,Medium,3.288855211,25,0,58.83206612,1616556608
128,Business,Brazil,IT,14548.80175,134.2777837,Medium,5.206452886,0,0,41.48918746,1649147640
129,Individual,USA,Transport,16772.40561,169.3351045,Low,1.836446098,25,1,93.0009613,1623004622
130,Business,China,Manufacturing,14837.43988,115.1593027,Medium,1.505056339,50,0,14.79348601,1650134765
131,Individual,UK,Residential,45486.08977,193.6265484,Medium,8.467357963,50,1,47.31486045,1669825980
132,Individual,China,Manufacturing,32365.21862,71.46008244,Medium,2.701935969,100,0,11.21096151,1613497362
133,Industry,Germany,Transport,18321.74248,137.828697,Medium,1.845238271,0,0,36.80716392,1629715221
134,Business,UK,Manufacturing,30114.09003,109.6121481,Medium,2.96534304,50,1,65.31954024,1614414530
135,Business,USA,Residential,22494.12583,21.19331189,Medium,3.276477883,100,1,91.03849787,1638647483
136,Individual,Brazil,Agriculture,21847.84166,90.18130028,Low,2.838192451,50,0,47.0765173,1611245270
137,Industry,UK,Manufacturing,24603.65641,63.62839039,Low,9.624583085,75,0,17.78635457,1619722202
138,Individual,Germany,Transport,26989.69592,104.0407927,Medium,7.277513416,50,0,4.574981356,1635287161
139,Individual,India,Power,2318.543586,66.45747096,Medium,2.475038069,25,0,85.20382534,1640768257
140,Industry,China,IT,43693.3893,179.2580489,Low,0.555871815,25,0,94.63005686,1635514959
141,Business,Brazil,Power,45250.02346,70.31532479,Low,0.268329628,25,0,85.81587799,1666239753
142,Business,Germany,Residential,34139.99335,18.40744442,High,8.291407855,100,0,30.6530776,1638483108
143,Industry,UK,Residential,43565.68249,193.2826736,Medium,0.087687679,50,0,64.57659248,1620761373
144,Industry,China,Manufacturing,21219.28934,114.6273262,Medium,6.531915949,75,0,74.68098454,1667167249
145,Business,UK,Residential,26827.76333,132.9012012,Low,2.99888802,50,0,54.70390628,1627722275
146,Individual,Germany,Agriculture,689.8067473,45.83096739,Medium,8.110150929,100,1,38.03659353,1649105145
147,Individual,Germany,IT,21666.35549,80.69782631,High,2.374092368,50,1,23.96923608,1667330148
148,Business,Brazil,IT,37914.75185,46.99420925,Low,4.358270313,50,0,23.96645547,1632444356
149,Industry,Brazil,Residential,35792.43128,141.7504005,Low,3.320812719,0,1,36.84150802,1652647090
150,Industry,UK,Transport,40643.40025,177.0236646,Low,4.870193535,75,0,72.52591006,1630318091
151,Industry,USA,Manufacturing,13207.60667,46.91138722,Low,6.338951846,75,0,47.19571242,1661674364
152,Industry,Germany,Residential,5714.226129,135.6171231,High,4.306314012,0,1,26.9985637,1612448068
153,Individual,UK,Transport,20086.9116,76.09883558,Low,0.368441699,0,0,87.00255924,1635290098
154,Industry,India,IT,27222.36317,115.5097296,High,1.136139127,100,0,27.13440386,1652274809
155,Individual,Brazil,Residential,30862.01073,35.23297403,Medium,0.990485507,25,0,43.07120792,1623496071
156,Business,USA,Residential,14068.59187,119.6597672,Low,9.484913556,25,0,85.92808703,1652076413
157,Industry,Germany,Manufacturing,29534.74598,90.51241043,Medium,0.524387553,0,0,94.9279095,1639987585
158,Industry,Brazil,Manufacturing,42716.11636,144.8601223,Medium,0.474067286,50,0,0.571174701,1667297329
159,Business,UK,Residential,20079.61672,7.828914092,Medium,2.968711218,100,0,66.58930182,1645363144
160,Industry,China,IT,31980.75747,82.19895076,High,1.414978923,0,0,7.298060982,1669864084
161,Business,Brazil,IT,18920.33629,126.0420683,Low,8.195172578,25,0,32.43123806,1667493752
162,Individual,Germany,Power,28362.07978,190.0646305,Medium,9.38139885,0,1,29.06931977,1659142590
163,Individual,Brazil,Transport,40558.91613,3.567505606,High,0.31396114,75,1,7.0105663,1640049031
164,Individual,Brazil,Transport,5054.705483,98.53232094,Low,3.564503078,75,0,63.92964366,1670122149
165,Individual,UK,Agriculture,19870.77306,185.0194142,Medium,1.523268571,0,0,88.44656191,1627252232
166,Business,UK,IT,3075.095828,176.9186201,Medium,0.712066716,25,1,38.7339531,1609995756
167,Industry,UK,IT,3718.555601,184.2077337,Low,8.151355388,50,1,99.31977584,1620879911
168,Individual,UK,Power,26918.16618,110.6905517,Low,8.893301473,25,0,88.91345814,1622142455
169,Individual,UK,Residential,32393.63524,17.94070152,Low,6.650938207,50,1,23.41974191,1657579219
170,Industry,Brazil,Residential,6582.216309,18.60273003,Medium,7.179039464,50,1,75.30474625,1618842232
171,Industry,Brazil,IT,37434.04533,193.4277371,Low,3.424112115,25,1,24.85943046,1670615153
172,Business,UK,Manufacturing,13441.31745,116.7682243,High,3.213841166,100,0,4.909908713,1664888075
173,Individual,India,Residential,46280.05335,46.83393988,High,0.505216216,50,1,38.88570251,1633736993
174,Business,USA,Manufacturing,42023.20924,41.70994403,Low,2.469128863,25,1,89.25946991,1646986307
175,Industry,Brazil,Residential,24487.79437,182.8291114,Low,6.598734076,25,1,79.87414728,1630938529
176,Industry,USA,IT,15314.13849,66.19123069,Medium,6.124719582,50,1,63.04646824,1654700149
177,Business,India,Power,32630.4968,169.0323381,Low,4.980939331,25,1,74.24970116,1662916726
178,Individual,USA,Transport,47671.49311,192.0427783,Medium,0.22088489,75,0,85.71919548,1637087615
179,Industry,China,Transport,9807.473098,76.20534404,Medium,0.790368399,25,1,63.90073184,1627221165
180,Business,UK,Agriculture,28037.4205,7.875497149,High,8.622177241,50,0,81.15895309,1648176643
181,Business,UK,Transport,28299.48365,191.9087117,High,0.117251645,50,1,40.31062264,1642527686
182,Industry,UK,Agriculture,18150.47507,70.86224439,Low,2.548139185,0,1,80.07015135,1665419377
183,Business,UK,Agriculture,26640.20597,63.42153763,Low,5.814163835,100,0,5.508272411,1613949195
184,Industry,USA,Transport,37719.50924,29.0274666,Medium,6.364665796,50,1,2.811273927,1629492604
185,Individual,China,Residential,48801.93239,149.3576689,Low,9.521480318,100,0,10.96342541,1631101963
186,Individual,UK,Power,16188.93123,1.505722889,Medium,3.864411628,25,1,44.33718363,1637466921
187,Industry,Brazil,IT,14439.46358,142.3223377,High,2.684065598,75,1,48.35797023,1621782385
188,Industry,USA,Residential,25780.81666,16.09410989,Low,6.794909864,75,0,25.74436221,1629170212
189,Business,UK,Residential,7259.422411,175.0445265,Low,9.202927804,50,0,79.1810567,1617767191
190,Industry,Brazil,IT,5900.602734,51.62184684,Low,7.546838537,0,1,1.096413572,1618525654
191,Individual,India,Transport,12391.66616,122.462664,Medium,6.61503402,25,1,7.475289112,1643420559
192,Individual,India,Manufacturing,13085.76939,20.72628973,Medium,0.916518786,0,0,2.071947113,1635953143
193,Individual,Germany,Residential,27903.2932,4.406421198,Medium,4.406398397,0,0,96.97584341,1611877580
194,Individual,UK,Manufacturing,937.7950318,81.85545117,Low,2.316206744,25,1,96.59181888,1644669286
195,Individual,India,Transport,47826.64966,195.1183174,Low,6.150296678,100,0,46.04189149,1610459031
196,Individual,Brazil,Power,25256.61384,132.5755104,Medium,1.945408702,50,0,64.28092342,1620045660
197,Industry,UK,Agriculture,37147.43531,68.03866264,Low,7.444410758,50,0,72.860771,1658461108
198,Business,Brazil,Power,32646.04112,42.23774139,Low,7.312487751,100,1,35.0657004,1648436895
199,Individual,UK,Manufacturing,22264.29554,158.0470348,Low,8.720743154,100,0,56.9629912,1670473325
200,Individual,UK,Agriculture,26535.67696,30.59173979,Low,3.337875451,25,0,56.82921802,1650750726
201,Industry,USA,Agriculture,46040.87233,36.56660631,Low,5.941623827,75,0,5.264141145,1627995860
202,Industry,India,Residential,38505.35998,72.48928368,High,8.212614836,50,1,41.88450252,1620314892
203,Individual,Brazil,Residential,48154.54372,163.2786186,High,0.124905077,50,1,16.25230292,1647753064
204,Industry,India,Agriculture,19267.09929,53.8407349,Low,4.326507174,0,1,30.46558119,1652968490
205,Individual,Brazil,Manufacturing,21900.19175,30.64879093,Medium,0.230720843,75,0,21.66119068,1631490077
206,Industry,UK,Residential,17204.62695,80.88988805,Medium,2.729591755,75,0,90.04533393,1630393908
207,Individual,India,IT,11307.98918,152.9193019,Low,1.810708612,75,0,9.603071071,1627908502
208,Individual,UK,Agriculture,9648.600931,43.60199802,Low,5.728648145,75,1,89.08332415,1660859597
209,Business,USA,Power,36919.36858,37.33496076,Low,1.942891157,25,1,66.84465929,1648053454
210,Individual,UK,Manufacturing,25377.96387,67.67149007,Low,3.235080798,25,1,22.84312626,1626524198
211,Individual,India,IT,3296.869166,177.1816329,Low,7.394605986,75,0,78.91703975,1639680599
212,Individual,Germany,Power,32105.33452,35.97755881,Medium,0.07566857,75,0,52.65542032,1630847952
213,Business,Brazil,Transport,13192.73635,96.98965414,Low,4.720369839,75,0,32.54894124,1629454746
214,Business,UK,Manufacturing,39012.28907,124.1685601,Low,5.202672497,50,0,75.80284271,1645317166
215,Business,Germany,Residential,19918.24255,192.4039802,Low,2.007302634,0,0,95.97148951,1647544179
216,Individual,India,Power,27046.67223,55.14594181,Medium,4.009371723,100,1,58.05670471,1627009707
217,Industry,USA,Manufacturing,18451.20088,167.2445629,Low,9.844645078,25,0,67.48569809,1668385885
218,Business,USA,Power,33018.05674,14.98334937,Low,8.600671711,50,0,42.33671195,1624003334
219,Business,China,Power,576.0365503,63.22728497,Medium,1.877860917,100,0,82.97114023,1638252739
220,Individual,USA,Power,24003.74311,189.2920557,High,6.590553434,75,0,13.04176394,1627488659
221,Industry,UK,Residential,5703.874964,153.4497148,Low,3.367263575,75,1,11.86863004,1623242612
222,Business,USA,Agriculture,47266.38304,195.3248807,Low,8.256343257,50,0,10.85124562,1610223484
223,Business,India,Agriculture,21194.46182,143.5929327,High,4.188722296,75,1,18.82788173,1667003795
224,Individual,Brazil,Transport,39380.27555,34.2026592,Low,1.088315684,100,0,9.30558207,1618332369
225,Industry,UK,Power,2012.438476,39.65220459,Low,3.085204171,75,1,79.10997892,1609704560
226,Industry,UK,Transport,8101.281388,152.0401122,High,0.04391583,25,0,28.93793483,1630831124
227,Business,China,Power,5224.896816,115.3170632,Low,6.15510242,75,1,89.64093033,1666414493
228,Business,UK,Manufacturing,16415.85528,3.417257198,Medium,5.778832083,0,0,96.25880692,1653370694
229,Business,China,Residential,41585.41742,52.45506513,Medium,2.585101063,50,1,62.71090481,1634730655
230,Individual,Brazil,Transport,30100.81278,148.6168223,High,1.275393082,50,1,80.21500729,1658914130
231,Individual,China,Agriculture,16704.45265,164.4481268,Medium,2.907197798,50,0,74.08944679,1628576963
232,Individual,China,Power,9711.611019,154.6915444,Medium,1.273248957,25,0,24.98923302,1660954132
233,Industry,UK,Power,349.4070587,194.361815,Low,0.465667607,0,1,18.28050672,1612529669
234,Industry,China,Power,3864.236236,32.68705993,Medium,4.845008961,50,0,12.33383358,1659503836
235,Industry,Germany,Power,8013.173837,46.54470858,High,8.050416256,0,0,30.6958199,1615924274
236,Individual,USA,Transport,16917.92641,15.91722622,High,5.828783719,25,0,9.756310393,1647859679
237,Industry,USA,Transport,9109.965209,147.7867187,High,3.711761956,100,0,47.08421327,1656271202
238,Business,Germany,Residential,46747.90258,52.37733319,High,5.702525019,50,0,82.1168709,1621180534
239,Business,USA,Residential,40646.30006,162.6347763,Medium,4.378815308,100,0,36.25708127,1616615865
240,Business,Germany,Agriculture,20579.0697,167.0664341,High,4.332014844,75,0,33.28395013,1623434317
241,Industry,India,Residential,35317.78367,182.1797438,Medium,1.24039521,0,0,83.59750016,1645484014
242,Industry,UK,Agriculture,45734.00445,58.70088078,Low,9.216016619,75,1,61.63204116,1632843374
243,Industry,China,Transport,16214.44411,177.8089666,Low,0.595024628,50,1,15.42427158,1632647599
244,Business,Brazil,IT,10338.20021,28.76491482,Low,8.327932973,100,0,20.86264977,1658410650
245,Business,China,Agriculture,49052.87673,89.00660127,Medium,3.971158651,100,1,65.76758755,1614038094
246,Individual,Brazil,Agriculture,43387.48513,88.99648874,Low,7.396001619,75,0,37.74914416,1671938901
247,Business,Brazil,IT,3011.046847,98.66041658,Low,3.388845774,0,0,31.6979491,1655616523
248,Industry,USA,Power,49289.99982,16.80915955,Medium,6.181838329,100,0,53.81044744,1634096084
249,Industry,Brazil,Power,6442.951277,192.1311571,Medium,3.541430937,50,0,14.31037552,1629546666
250,Individual,Brazil,Residential,43529.28227,98.34893098,Medium,7.017359192,100,0,15.40425948,1622478687
251,Individual,Brazil,IT,27932.44233,52.78894061,Medium,4.212920653,50,1,14.53678549,1651320375
252,Business,Brazil,IT,37447.16982,67.81225512,Low,9.803203694,100,0,10.06475646,1639538816
253,Business,China,Residential,9081.036106,192.9350892,Medium,8.348267831,100,0,80.28408193,1634825604
254,Individual,China,Agriculture,39271.19851,132.2041336,Medium,1.485745214,75,0,18.08692517,1657735544
255,Individual,India,Manufacturing,26750.40672,16.34773262,Medium,4.042802346,25,0,1.856240273,1629995389
256,Business,USA,Transport,42126.3932,45.82864678,Low,5.28463773,0,1,5.75957411,1649848114
257,Industry,India,Manufacturing,23296.61508,167.2472585,Medium,4.298665845,50,1,19.99090876,1620481448
258,Business,USA,Manufacturing,11358.8667,199.421632,Low,6.1413946,50,1,64.77017852,1663403943
259,Individual,Germany,Agriculture,983.2726732,107.6090345,High,9.161609255,75,0,98.25615767,1646404735
260,Industry,USA,Residential,11433.45733,30.30015522,High,8.805027621,50,0,73.1578092,1618362198
261,Individual,USA,Residential,24035.79834,153.6789678,Low,7.698609247,50,0,3.874590388,1669090442
262,Individual,China,IT,524.1573537,162.5520604,Low,0.824876773,0,0,16.99115166,1635458537
263,Business,USA,Transport,25256.05329,197.8043416,Low,8.069605526,25,0,97.49120757,1640620681
264,Business,Brazil,Power,6929.125902,121.8354393,Low,0.069682775,50,1,60.34303062,1661617202
265,Business,USA,IT,12827.67229,58.832334,Medium,5.760388066,25,1,38.79542896,1637338990
266,Business,China,Residential,26562.40758,43.81114043,Low,8.777032612,50,1,17.49255246,1627610826
267,Business,USA,Manufacturing,48341.92616,178.9749043,High,3.272457415,0,1,64.82896449,1635793817
268,Individual,India,Manufacturing,748.4921993,159.8691171,Medium,7.181743047,75,0,69.98941525,1655598090
269,Individual,UK,Residential,28442.63666,49.93987505,Medium,6.287786994,0,1,83.38083714,1650968849
270,Industry,India,IT,33215.44344,33.49401926,High,0.902243877,0,1,57.67020673,1623816215
271,Individual,Germany,Transport,44795.21587,188.0103661,Medium,2.089429408,0,1,56.86635695,1634373849
272,Industry,Brazil,Manufacturing,22202.73288,96.17838167,Low,1.111452855,25,1,98.57766845,1633597422
273,Business,USA,IT,46228.01317,154.4827152,Low,9.258844049,50,1,93.20424183,1665163913
274,Industry,India,Manufacturing,7100.206767,31.58357214,High,4.034234362,75,0,57.88974589,1659505978
275,Individual,USA,Transport,26637.30549,180.9387949,Low,6.922835861,75,1,82.91637387,1620036631
276,Individual,UK,Residential,5718.635846,81.18105562,Medium,5.088135186,0,1,58.67862124,1657622953
277,Individual,Germany,Power,14560.22188,160.7080466,Medium,9.64290442,50,0,0.742033655,1670401552
278,Industry,India,IT,14783.25748,6.26068514,Medium,0.646251817,100,1,30.75879714,1642410172
279,Individual,UK,Transport,49726.53647,164.0900689,Medium,3.667710846,100,1,43.88327151,1610644283
280,Business,Germany,IT,38551.343,160.2332792,Low,7.130574908,75,0,95.85114698,1668078299
